"variable","high_burden_mean","low_burden_mean","wilcox_p"
"Evap. prevalence",0.23,0.24,0.559
"Median income ($)",62659.65,59547.24,0.732
"Minority (%)",0.47,0.46,0.645
"Renter (%)",0.31,0.29,0.365
"Year built",1979.89,1976.99,0.175
"Current call rate",1001.44,1009.6,0.634
