"variable","estimate","se","IRR","p"
"failure_day",-0.009,0.061,0.991,0.876
"z_evap",0.006,0.029,1.006,0.844
"tmax",0.001,0.005,1.001,0.753
"z_income",-0.002,0.023,0.998,0.93
"failure_day:z_evap",-0.014,0.042,0.986,0.736
