"variable","estimate","se","p"
"Intercept",-1.397,0.051,6.83e-106
"Summer tmax (z)",0.025,0.053,0.635
"NDVI (z)",-0.553,0.066,6.26e-16
"Income (z)",-0.735,0.078,1.41e-19
"Renter (z)",-0.546,0.059,2.21e-19
