"variable","estimate","se","IRR","p"
"Intercept",-2.696,0.009,0.067,0
"Evap. prevalence (z)",0.282,0.011,1.326,6.25e-145
"Income (z)",-0.094,0.013,0.91,7.77e-13
"Minority (z)",-0.034,0.011,0.967,0.00162
"Renter (z)",0.004,0.011,1.004,0.698
