"year","season","failure_days","total_failure_hours","longest_streak"
2018,"Monsoon",11,21,3
2018,"Pre-monsoon",0,0,0
2019,"Monsoon",11,13,3
2019,"Pre-monsoon",0,0,0
2020,"Monsoon",1,3,1
2020,"Pre-monsoon",0,0,0
2021,"Monsoon",25,46,4
2021,"Pre-monsoon",0,0,0
2022,"Monsoon",19,39,4
2022,"Pre-monsoon",0,0,0
2023,"Monsoon",13,22,4
2023,"Pre-monsoon",0,0,0
2024,"Monsoon",23,36,3
2024,"Pre-monsoon",6,18,4
2025,"Monsoon",5,6,2
2025,"Pre-monsoon",0,0,0
