"variable","estimate","se","p"
"(Intercept)",0.23,0.012,0
"z_income",-0.024,0.007,0.000506
"z_minority",0.074,0.009,2.22e-16
"z_year_built",-0.134,0.007,0
"z_renter",-0.049,0.006,0
"covenant1",0.006,0.018,0.754
