"season","failure_days","total_failure_hours","longest_streak","failure_days_se","total_failure_hours_se","longest_streak_se"
"Monsoon",0.4,0.4,0.2,0.3,0.3,0.2
"Pre-monsoon",0,0,0,0,0,0
