"variable","estimate","se","IRR","p"
"failure_day",-0.01,0.025,0.99,0.673
"z_evap",0.26,0.009,1.297,2.73e-183
"tmax",0.001,0.001,1.001,0.445
"z_income",-0.09,0.01,0.914,4e-19
"failure_day:z_evap",0.011,0.021,1.011,0.603
