"variable","estimate","se","p"
"Intercept",-1.349,0.052,6.37e-99
"Summer tmax (z)",0.069,0.052,0.19
"Income (z)",-1.048,0.075,1.63e-38
"Renter (z)",-0.543,0.061,8.18e-18
