"variable","estimate","se","p"
"Intercept",-1.532,0.046,9.22e-136
"Income (z)",-0.455,0.064,3.65e-12
"Minority (z)",0.6,0.042,1.43e-39
"Year built (z)",-0.83,0.046,3.87e-58
"Renter (z)",-0.64,0.055,2.96e-28
"Covenant",-0.027,0.109,0.802
