"variable","estimate","se","p"
"(Intercept)",0.238,0.013,0
"z_income",-0.025,0.007,0.000633
"z_minority",0.08,0.01,2.22e-16
"z_year_built",-0.132,0.008,0
"z_renter",-0.055,0.006,0
"covenant1",0.007,0.018,0.712
